rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,Kate Bush,Running Up That Hill,Rhino,1,1,41,7208654
2,Harry Styles,As It Was,Columbia,1,2,99,6543793
3,Joji,Glimpse of Us,88rising Music/Warner Records,1,3,28,5492997
4,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,4,63,5416421
5,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,5,-1,1,4676471
6,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,5,63,4549682
7,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,2,6,63,4144625
8,Bad Bunny,Efecto,Rimas Entertainment LLC,7,8,63,3722317
9,"Charlie Puth, BTS, Jung Kook",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,3,7,14,3715689
10,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,1,9,63,3465003
11,Glass Animals,Heat Waves,Polydor Records,1,10,565,3152464
12,KAROL G,PROVENZA,UMLE - Latino,4,11,77,2916384
13,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,4,13,21,2725837
14,Metallica,Master of Puppets (Remastered),Blackened Recordings,12,12,7,2687534
15,Lizzo,About Damn Time,Nice Life/Atlantic,7,14,72,2680153
16,"Shakira, Rauw Alejandro",Te Felicito,Sony Music Latin,12,15,76,2571269
17,"Bad Bunny, Jhay Cortez",Tarot,Rimas Entertainment LLC,5,17,63,2503330
18,"Bad Bunny, Rauw Alejandro",Party,Rimas Entertainment LLC,6,16,63,2487748
19,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,18,364,2434630
20,OneRepublic,I Ain't Worried,Interscope Records,19,19,33,2362495
21,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,5,20,126,2253099
22,Harry Styles,Late Night Talking,Columbia,2,21,49,2222378
23,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,6,22,35,2201080
24,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,2,23,329,2193383
25,Jack Harlow,First Class,Generation Now/Atlantic,1,24,91,2165862
26,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,5,25,17,2043781
27,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Kemosabe Records/RCA Records,26,26,37,1983397
28,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,9,28,201,1931857
29,Justin Bieber,Ghost,RBMG/Def Jam,10,27,291,1926099
30,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,1,29,552,1912535
31,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,3,30,252,1876347
32,Stephen Sanchez,Until I Found You,Republic Records,26,31,60,1844468
33,Bad Bunny,Después de la Playa,Rimas Entertainment LLC,3,32,63,1802819
34,"Bad Bunny, Tony Dize",La Corriente,Rimas Entertainment LLC,12,33,63,1781013
35,"Becky G, KAROL G",MAMIII,Kemosabe Records/RCA Records,5,35,147,1737684
36,Cris Mj,Una Noche en Medellín,Nabru Records LLC,6,38,137,1735359
37,Doja Cat,Woman,Kemosabe Records/RCA Records,5,34,360,1718833
38,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,35,36,64,1693361
39,Ed Sheeran,Shivers,Atlantic Records UK,4,40,301,1685117
40,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,2,37,350,1671270
41,Bad Bunny,Un Ratito,Rimas Entertainment LLC,7,39,63,1646656
42,The Weeknd,Blinding Lights,Republic Records,1,41,952,1639068
43,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,17,44,315,1616990
44,"Rauw Alejandro, Chencho Corleone",Desesperados,Sony Music Latin/Duars Entertainment,8,46,206,1615238
45,The Neighbourhood,Sweater Weather,Columbia,29,45,682,1596554
46,Ruth B.,Dandelions,Columbia,32,47,324,1583561
47,BTS,Yet To Come,BIGHIT MUSIC,3,43,28,1572126
48,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,5,49,70,1569560
49,Drake,Massive,OVO,15,48,21,1568686
50,j-hope,MORE,BIGHIT MUSIC,9,42,7,1528838
51,Tom Odell,Another Love,ITNO/Columbia,27,50,449,1522481
52,"Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,Sony Music Entertainment Chile S.A,32,53,21,1491415
53,Bad Bunny,Neverita,Rimas Entertainment LLC,11,51,63,1488891
54,Harry Styles,Watermelon Sugar,Columbia,4,52,963,1484262
55,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,55,420,1418543
56,Ed Sheeran,Bad Habits,Atlantic Records UK,3,57,378,1411179
57,"Bad Bunny, Buscabulla",Andrea,Rimas Entertainment LLC,21,54,63,1400573
58,Adele,Easy On Me,Columbia,1,56,267,1386418
59,Farruko,Pepas,Sony Music Latin,3,60,361,1372292
60,The Weeknd,Die For You,Universal Republic Records,58,58,155,1356577
61,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",DALE PLAY Records,61,103,29,1352508
62,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,59,413,1337989
63,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),UMLE - Latino,56,62,49,1333620
64,Bad Bunny,Yo No Soy Celoso,Rimas Entertainment LLC,10,63,63,1274366
65,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4,69,644,1255949
66,Bad Bunny,Un Coco,Rimas Entertainment LLC,22,66,63,1247690
67,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,65,546,1245966
68,The Weeknd,Save Your Tears,Republic Records,2,74,581,1245092
69,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,6,64,343,1245084
70,Anitta,Envolver,Warner Records,1,71,125,1245062
71,Bad Bunny,Me Fui de Vacaciones,Rimas Entertainment LLC,12,68,63,1238725
72,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,70,461,1233669
73,Bad Bunny,Dos Mil 16,Rimas Entertainment LLC,17,73,63,1233082
74,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,7,75,276,1232162
75,Lil Nas X,THATS WHAT I WANT,Columbia,3,78,294,1222863
76,Bad Bunny,Aguacero,Rimas Entertainment LLC,18,72,63,1221010
77,Arctic Monkeys,505,Domino/Warner Records,49,77,197,1217948
78,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",69,76,57,1216566
79,"Cardi B, Kanye West, Lil Durk",Hot Shit (feat. Ye & Lil Durk),Atlantic Records,27,61,7,1210187
80,Harry Styles,Music For a Sushi Restaurant,Columbia,3,79,49,1204199
81,NAYEON,POP!,Republic Records – NAYEON (TWICE),62,67,14,1202372
82,The Weeknd,Call Out My Name,Universal Republic Records,1,82,260,1196029
83,"James Hype, Miggy Dela Rosa",Ferrari,Universal-Island Records Ltd.,66,80,34,1191629
84,"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),Mercury Records/Republic Records,13,81,56,1180115
85,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,2,85,455,1178627
